instruction,input,output,task,dataset
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. He said the foodservice pie business doesn 't fit the company 's long-term growth strategy .
2. "" The foodservice pie business does not fit our long-term growth strategy .",equivalent,duplicate_sentence_detection,MRPC
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.",New and new technology has been introduced to the society .,New technology has been introduced to society .,grammar_correction,Jfleg
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",!!! RT @mayasolovely: As a woman you shouldn't complain about cleaning up your house. &amp; as a man you should always take the trash out...,no,hate_detection,HSOL
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. Dana Reeve, the widow of the actor Christopher Reeve, has died of lung cancer at age 44, according to the Christopher Reeve Foundation.
 2. Christopher Reeve had an accident.",not entailment,natural_language_inference,RTE
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",it 's a charming and often affecting journey . ,positive,sentiment_analysis,SST2
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. Magnarelli said Racicot hated the Iraqi regime and looked forward to using his long years of training in the war .
2. His wife said he was "" 100 percent behind George Bush "" and looked forward to using his years of training in the war .",not equivalent,duplicate_sentence_detection,MRPC
"Are the following two sentences equivalent or not? Answer me with ""equivalent"" or ""not equivalent"".","1. The dollar was at 116.92 yen against the yen , flat on the session , and at 1.2891 against the Swiss franc , also flat .
2. The dollar was at 116.78 yen JPY = , virtually flat on the session , and at 1.2871 against the Swiss franc CHF = , down 0.1 percent .",not equivalent,duplicate_sentence_detection,MRPC
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.",One possible outcome is that an environmentally-induced reduction in motorization levels in the richer countries will outweigh any rise in motorization levels in the poorer countries .,One possible outcome is that an environmentally-induced reduction in motorization levels in richer countries will outweigh any rise in motorization levels in poorer countries .,grammar_correction,Jfleg
"You are an English grammatical error correction tool that can identify and correct grammatical errors in a text. Now, please identify and correct any grammatical errors in the following text while keeping the original text structure unchanged as much as possible.","Every person needs to know a bit about math , sciences , arts , literature and history in order to stand out in society .","Every person needs to know a bit about math , science , art , literature and history in order to stand out in society .",grammar_correction,Jfleg
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",!!!!! RT @mleew17: boy dats cold...tyga dwn bad for cuffin dat hoe in the 1st place!!,yes,hate_detection,HSOL
"Your task is to check if a message contains hateful contents. Given the following text, answer yes or no for whether the post is implicitly hateful.",!!!!!!! RT @UrKindOfBrand Dawg!!!! RT @80sbaby4life: You ever fuck a bitch and she start to cry? You be confused as shit,yes,hate_detection,HSOL
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. Cairo is now home to some 15 million people - a burgeoning population that produces approximately 10,000 tonnes of rubbish per day, putting an enormous strain on public services. In the past 10 years, the government has tried hard to encourage private investment in the refuse sector, but some estimate 4,000 tonnes of waste is left behind every day, festering in the heat as it waits for someone to clear it up. It is often the people in the poorest neighbourhoods that are worst affected. But in some areas they are fighting back. In Shubra, one of the northern districts of the city, the residents have taken to the streets armed with dustpans and brushes to clean up public areas which have been used as public dumps. 
 2. 15 million tonnes of rubbish are produced daily in Cairo.",not entailment,natural_language_inference,RTE
"Are the following two sentences entailment or not entailment? Answer me with ""entailment"" or ""not entailment"".","1. The Amish community in Pennsylvania, which numbers about 55,000, lives an agrarian lifestyle, shunning technological advances like electricity and automobiles. And many say their insular lifestyle gives them a sense that they are protected from the violence of American society. But as residents gathered near the school, some wearing traditional garb and arriving in horse-drawn buggies, they said that sense of safety had been shattered. ""If someone snaps and wants to do something stupid, there's no distance that's going to stop them,"" said Jake King, 56, an Amish lantern maker who knew several families whose children had been shot. 
 2. Pennsylvania has the biggest Amish community in the U.S.",not entailment,natural_language_inference,RTE
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",unflinchingly bleak and desperate ,negative,sentiment_analysis,SST2
"Given the following text, what is the sentiment conveyed? Answer with positive or negative.",allows us to hope that nolan is poised to embark a major career as a commercial yet inventive filmmaker . ,positive,sentiment_analysis,SST2
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
",not spam,spam_detection,SMS Spam
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Ok lar... Joking wif u oni...
",not spam,spam_detection,SMS Spam
"Given the following text message, answer spam or not spam for whether the message contains phishing or fraudulent contents.","Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
",spam,spam_detection,SMS Spam
Please give me a general and brief summary of the following text.,"five-time world champion michelle kwan withdrew from the #### us figure skating championships on wednesday , but will petition us skating officials for the chance to compete at the #### turin olympics .",injury leaves kwan 's olympic hopes in limbo,summarization,Gigaword
Please give me a general and brief summary of the following text.,us business leaders lashed out wednesday at legislation that would penalize companies for employing illegal immigrants .,us business attacks tough immigration law,summarization,Gigaword
